"","species","color_desc","Hue","Lightness","Saturation"
"234","Schinus_terebinthifolius","red",660,6.44247647017212,2.79
"235","Smilax_aspera","black",545,5.93648023877522,1.913
"236","Smilax_brasiliensis","black",695,2.89591193827178,6.34
"237","Smilax_quinquenervia","orange",660,5.27099755589307,3.05
"238","Solanum_capsicoides","orange",660,6.7076444267785,2.89
"239","Solanum_cf._coriaceum","green",756,1.36606826917521,2.13963336727687
"240","Solanum_dulcamara","red",660,6.88591858437296,5.574
"241","Solanum_nigrum","black",435,6.06355262350224,1.639
"242","Solanum_sodomeum","yellow",630,7.53929297791039,1.955
"243","Sorbus_aria","red",645,6.6443104308944,4.512
"244","Sorbus_aucuparia","red",660,6.76353842822173,4.613
"245","Sorbus_domestica","brown",300,6.27495032742835,1.274
"246","Sorbus_torminalis","brown",635,6.01322603888949,0.999
"247","Sorocea_bonplandii","red",695,5.35072004534108,0.74
"248","Spondias_mombin","yellow",776,2.88211554676702,2.34501736500112
"249","Stelestylis_surinamensis","yellow",776,2.50184570384492,2.16036460467022
"250","Sterculia_pruriens","brown",736,2.19864024147738,2.19707263223881
"252","Strychnos_mitis","yellow",772,3.03532611420193,1.94130675991712
"254","Tamus_communis","red",660,6.52356230614951,5.016
"255","Tapirira_cf._obtusa","green",700,1.08477149066134,2.28054408475285
"257","Taxus_baccata","red",630,6.55207983537649,2.851
"258","Tetragastris_panamensis","green",625.666666666667,3.11691114177708,1.73260241899583
"259","Theobroma_subincanum","brown",774,2.38180919647181,2.17628901871285
"260","Turraea_floribunda","red",772,2.75360975564198,1.70333520179372
"261","Vaccinium_myrtillus","black",310,6.10813585391167,0.621
"262","Vaccinium_uliginosum","black",315,6.34808948979667,2.06
"263","Viburnum_lantana","black",360,5.91431348791957,3.921
"264","Viburnum_opulus","red",640,6.97541392745595,4.646
"265","Viburnum_tinus","black",400,5.89577929697357,1.644
"266","Virola_bicuhyba","red",660,6.66097199810164,3.33
"267","Virola_michelii","brown",776,1.80608313015796,3.03789777127458
"268","Viscum_album","white",550,7.42410561339083,1.777
"269","Viscum_cruciatum","red",660,6.401419560489,4.12
"271","Vitis_vinifera","black",300,7.02366990357849,2.439
"272","Warburgia_ugandensis","black",772,1.99759408141963,1.96310352312347
"273","Withania_frutescens","green",660,5.85764739937364,3.209
"274","Ximenia_americana","orange",600,6.74858368208688,1.66
"275","Xylopia_langsdorfiana","white",480,8.04512663580033,1.32
"276","Ziziphus_lotus","red",660,6.58906401965601,1.775
